pos_v3;capa;sobre_original;contenido;fuente;autor;licencia;url
86;fondo duotono;56;fondo de la lámina 56;Mount Etna smoke plumes ESA23245324.jpeg;European Space Agency;Attribution;https://commons.wikimedia.org/wiki/File:Mount_Etna_smoke_plumes_ESA23245324.jpeg
88;lámina fotográfica;57;La regla chilena 30-30-30 combina humedad relativa, temperatura y vien;My Public Lands Roadtrip- Remote Automated Weather Stations (20912441941).jpg;mypubliclands;Public domain;https://commons.wikimedia.org/wiki/File:My_Public_Lands_Roadtrip-_Remote_Automated_Weather_Stations_(20912441941).jpg
90;lámina fotográfica;58;Sirve para levantar la mano;Red flag warning.JPG;Jeffrey Beall;CC BY 4.0;https://commons.wikimedia.org/wiki/File:Red_flag_warning.JPG
92;diagrama 3D;59;Una décima parte del viento medido a 10 metros;NotebookLM (Gemini) sobre las fuentes del curso;CONAF / NotebookLM;generado;
93;fondo duotono;60;fondo de la lámina 60;Sunset in steppe, Rostov-on-Don, Russia.jpg;Vyacheslav Argenberg;CC BY 4.0;https://commons.wikimedia.org/wiki/File:Sunset_in_steppe,_Rostov-on-Don,_Russia.jpg
95;lámina fotográfica;61;Bajo el dosel el viento no llega;Canopy cover above forest road JEG3081.jpg;PJeganathan;CC BY-SA 4.0;https://commons.wikimedia.org/wiki/File:Canopy_cover_above_forest_road_JEG3081.jpg
97;lámina fotográfica;62;Cuando el incendio pasa a estar dominado por su propia columna, el ava;Pyrocumulus cloud produced by the Dixie Fire on July 22-5865.jpg;Frank Schulenburg;CC BY-SA 4.0;https://commons.wikimedia.org/wiki/File:Pyrocumulus_cloud_produced_by_the_Dixie_Fire_on_July_22-5865.jpg
98;fondo duotono;63;fondo de la lámina 63;Sossusvlei Dune Rippled cropped.jpg;Daniel Kraft;CC BY-SA 3.0;https://commons.wikimedia.org/wiki/File:Sossusvlei_Dune_Rippled_cropped.jpg
99;fondo duotono;64;fondo de la lámina 64;Coarse woody debris 6407.JPG;Walter Siegmund (talk);CC BY-SA 3.0;https://commons.wikimedia.org/wiki/File:Coarse_woody_debris_6407.JPG
100;lámina fotográfica;64;La intensidad decide el ataque;Fighting fire from the air- helitack - 52345747871.jpg;BLM Oregon & Washington;CC BY 2.0;https://commons.wikimedia.org/wiki/File:Fighting_fire_from_the_air-_helitack_-_52345747871.jpg
101;fondo duotono;65;fondo de la lámina 65;Mountains clouds Mekong and dwellings from Mount Phou Si at sunrise in Luang Prabang Laos.jpg;Basile Morin;CC BY-SA 4.0;https://commons.wikimedia.org/wiki/File:Mountains_clouds_Mekong_and_dwellings_from_Mount_Phou_Si_at_sunrise_in_Luang_Prabang_Laos.jpg
102;lámina fotográfica;65;BLOQUE Los mapas: el sistema que gobierna un episodio no se ve desde e;Africa from low orbiting satellite Suomi NPP.jpg;NASA/NOAA;Public domain;https://commons.wikimedia.org/wiki/File:Africa_from_low_orbiting_satellite_Suomi_NPP.jpg
103;fondo duotono;66;fondo de la lámina 66;Blue haze over wooded slopes (Unsplash).jpg;Greg Rakozy grakozy;CC0;https://commons.wikimedia.org/wiki/File:Blue_haze_over_wooded_slopes_(Unsplash).jpg
105;fondo duotono;68;fondo de la lámina 68;Oratunturi central summit from the west in midnight, Sodankylä, Lapland, Finland, 2019 June.jpg;Ximonic (Simo Räsänen);CC BY-SA 3.0;https://commons.wikimedia.org/wiki/File:Oratunturi_central_summit_from_the_west_in_midnight,_Sodankyl%C3%A4,_Lapland,_Finland,_2019_June.jpg
109;lámina fotográfica;71;Es el producto, no la causa;Spectacular clouds off of Madagascar (MODIS 2020-08-08).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;https://commons.wikimedia.org/wiki/File:Spectacular_clouds_off_of_Madagascar_(MODIS_2020-08-08).jpg
111;diagrama 3D;72;Cada nivel responde una pregunta distinta;NotebookLM (Gemini) sobre las fuentes del curso;CONAF / NotebookLM;generado;
113;lámina fotográfica;73;Aquí el 850 hPa es roca;Snow Comes to the Atacama Desert.jpg;ESO/S. Guisard;CC BY 4.0;https://commons.wikimedia.org/wiki/File:Snow_Comes_to_the_Atacama_Desert.jpg
116;lámina fotográfica;75;El embudo es un orden de pantallas;National Weather Service - Flagstaff (5456283079).jpg;Bill Morrow;CC BY 2.0;https://commons.wikimedia.org/wiki/File:National_Weather_Service_-_Flagstaff_(5456283079).jpg
120;lámina fotográfica;78;Sume los trazos, no mire el lado;Cirrus uncinus clouds in the morning sky.jpg;ADARSHluck;CC BY-SA 4.0;https://commons.wikimedia.org/wiki/File:Cirrus_uncinus_clouds_in_the_morning_sky.jpg
122;lámina fotográfica;79;La corriente en chorro es una banda estrecha de viento muy intenso en ;Cirrus stream over Melbourne CBD (4838023810).jpg;Travellers travel photobook from Melbourne, Australia, Australia;CC BY 2.0;https://commons.wikimedia.org/wiki/File:Cirrus_stream_over_Melbourne_CBD_(4838023810).jpg
124;fondo duotono;81;fondo de la lámina 81;Cirrus front over Austnesfjorden, Austvågøya, Lofoten, Norway, 2015 April.jpg;Ximonic (Simo Räsänen);CC BY-SA 3.0;https://commons.wikimedia.org/wiki/File:Cirrus_front_over_Austnesfjorden,_Austv%C3%A5g%C3%B8ya,_Lofoten,_Norway,_2015_April.jpg
126;lámina fotográfica;82;El oeste no descansa en verano;Morning on the Patagonian Steppe.jpg;Remarksman;CC BY 2.0;https://commons.wikimedia.org/wiki/File:Morning_on_the_Patagonian_Steppe.jpg
127;fondo duotono;83;fondo de la lámina 83;Cirrus fibratus intortus über Limburg.jpg;GerritR;CC BY-SA 4.0;https://commons.wikimedia.org/wiki/File:Cirrus_fibratus_intortus_%C3%BCber_Limburg.jpg
128;fondo duotono;84;fondo de la lámina 84;Layered mountains at sunset near Castelrotto.jpg;Eric Kilby;CC BY-SA 2.0;https://commons.wikimedia.org/wiki/File:Layered_mountains_at_sunset_near_Castelrotto.jpg
129;lámina fotográfica;84;Sin el sistema no hay proyección;Powerful Tropical Cyclone Freddy crossing the Indian Ocean (MODIS).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;https://commons.wikimedia.org/wiki/File:Powerful_Tropical_Cyclone_Freddy_crossing_the_Indian_Ocean_(MODIS).jpg
130;fondo duotono;85;fondo de la lámina 85;Lenticular clouds over Titlis, Switzerland.jpg;Jan Remund;CC BY 2.0;https://commons.wikimedia.org/wiki/File:Lenticular_clouds_over_Titlis,_Switzerland.jpg
131;lámina fotográfica;85;Apertura de bloque: el catalogo de los sistemas que efectivamente prod;Atardecer rosado, puesta de sol en Santiago, Chile con el telón de la Cordillera de los Andes nevado.jpg;Nbendersky;CC BY-SA 4.0;https://commons.wikimedia.org/wiki/File:Atardecer_rosado,_puesta_de_sol_en_Santiago,_Chile_con_el_tel%C3%B3n_de_la_Cordillera_de_los_Andes_nevado.jpg
133;lámina fotográfica;86;Somera, cálida y pegada a la costa;"Satellite Shows West Coast ""June Gloom"" and Actinoform clouds (9009302654).jpg";NASA Goddard Space Flight Center from Greenbelt, MD, USA;Public domain;https://commons.wikimedia.org/wiki/File:Satellite_Shows_West_Coast_%22June_Gloom%22_and_Actinoform_clouds_(9009302654).jpg
135;lámina fotográfica;87;El aire desciende y se calienta;Chinook Arch - panoramio (1).jpg;Jack Borno;CC BY-SA 3.0;https://commons.wikimedia.org/wiki/File:Chinook_Arch_-_panoramio_(1).jpg
137;diagrama 3D;88;Lo que quema no viene del mar;NotebookLM (Gemini) sobre las fuentes del curso;CONAF / NotebookLM;generado;
138;fondo duotono;89;fondo de la lámina 89;Mountain view in Robson valley.jpg;Jakub Fryš (talk · contribs);CC BY-SA 4.0;https://commons.wikimedia.org/wiki/File:Mountain_view_in_Robson_valley.jpg
142;lámina fotográfica;92;El mecanismo se ve, el dato falta;Volcano Plume Continues Blowing East Over Argentina to Atlantic Ocean (5833561366).jpg;NASA Goddard Space Flight Center from Greenbelt, MD, USA;Public domain;https://commons.wikimedia.org/wiki/File:Volcano_Plume_Continues_Blowing_East_Over_Argentina_to_Atlantic_Ocean_(5833561366).jpg
145;lámina fotográfica;94;La ventana critica es el periodo en que el incendio queda fuera de la ;River Road East Fire- Smoke Column (53798055430).jpg;Forest Service - Northern Region;Public domain;https://commons.wikimedia.org/wiki/File:River_Road_East_Fire-_Smoke_Column_(53798055430).jpg
148;lámina fotográfica;96;La senal de cierre es el retorno de la capa limite marina: nubosidad b;Large-scale Fractal Motion of Clouds (5638320696).jpg;NASA Goddard Space Flight Center from Greenbelt, MD, USA;CC BY 2.0;https://commons.wikimedia.org/wiki/File:Large-scale_Fractal_Motion_of_Clouds_(5638320696).jpg
150;lámina fotográfica;97;El bloqueo no cierra la ventana;Smoke and Fire in Eastern Asia (MODIS 2022-04-21).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;https://commons.wikimedia.org/wiki/File:Smoke_and_Fire_in_Eastern_Asia_(MODIS_2022-04-21).jpg
151;fondo duotono;98;fondo de la lámina 98;Coastal road to Gatbawi.jpg;Meloncookie;CC BY-SA 4.0;https://commons.wikimedia.org/wiki/File:Coastal_road_to_Gatbawi.jpg
152;lámina fotográfica;98;El regreso de la capa marina;Clouds off Peru (MODIS 2022-08-01).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;https://commons.wikimedia.org/wiki/File:Clouds_off_Peru_(MODIS_2022-08-01).jpg
153;fondo duotono;99;fondo de la lámina 99;Dalabadet - Blowing in the wind (24281841944).jpg;Susanne Nilsson;CC BY-SA 2.0;https://commons.wikimedia.org/wiki/File:Dalabadet_-_Blowing_in_the_wind_(24281841944).jpg
154;lámina fotográfica;99;El viento que empuja la llama;Prescribed burn of marsh grasses showing heavy plant growth with flames and smoke.jpg;David Menke;Public domain;https://commons.wikimedia.org/wiki/File:Prescribed_burn_of_marsh_grasses_showing_heavy_plant_growth_with_flames_and_smoke.jpg
156;diagrama 3D;100;Del meteograma al frente de llama;NotebookLM (Gemini) sobre las fuentes del curso;CONAF / NotebookLM;generado;
159;lámina fotográfica;102;El mismo instrumento, dos cifras;Wind Indicator at Godavari Tank Bund.JPG;Vivek rachuri;CC BY-SA 3.0;https://commons.wikimedia.org/wiki/File:Wind_Indicator_at_Godavari_Tank_Bund.JPG
161;lámina fotográfica;103;El viento que entra al modelo de Rothermel es el de la altura de la mi;Mapping Fire’s Spread in a Georgia Pine Burn (154549 - fortstewarthelicopter 202504 lrg).jpg;NASA Earth Observatory images annotated by Lauren Dauphin using AVIRIS-3 data via the AVIRIS Data Portal AVIRIS Data Portal. Photos by Milan Loiacono/NASA’s Ame;Public domain;https://commons.wikimedia.org/wiki/File:Mapping_Fire%E2%80%99s_Spread_in_a_Georgia_Pine_Burn_(154549_-_fortstewarthelicopter_202504_lrg).jpg
163;lámina fotográfica;104;Bajo dosel cerrado, la sexta parte;Stand re-initiation of shade-tolerant spruce and fir beneath a closed canopy of lodgepole pine. LP2 cover type where the forest (9a4615fe-7c25-4666-b713-d2046774e24d).jpg;NPS;Public domain;https://commons.wikimedia.org/wiki/File:Stand_re-initiation_of_shade-tolerant_spruce_and_fir_beneath_a_closed_canopy_of_lodgepole_pine._LP2_cover_type_where_the_forest_(9a4615fe-7c25-4666-b713-d2046774e24d).jpg
165;lámina fotográfica;105;El viento efectivo integra viento a media llama y pendiente, y gobiern;NASA spies wildfires running amok in California (37367420790).jpg;NASA Goddard Space Flight Center from Greenbelt, MD, USA;CC BY 2.0;https://commons.wikimedia.org/wiki/File:NASA_spies_wildfires_running_amok_in_California_(37367420790).jpg
167;lámina fotográfica;106;Aquí el modelo deja de responder;Extreme Fire in New South Wales (MODIS 2023-12-19).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;https://commons.wikimedia.org/wiki/File:Extreme_Fire_in_New_South_Wales_(MODIS_2023-12-19).jpg
168;fondo duotono;107;fondo de la lámina 107;Breaking waves, Sète cf03.jpg;Christian Ferrer;CC BY 4.0;https://commons.wikimedia.org/wiki/File:Breaking_waves,_S%C3%A8te_cf03.jpg
170;lámina fotográfica;108;Sin viento, la pendiente manda;2018 06 20-14.19.51.436-CDT.jpg;Bureau of Land Management;Public domain;https://commons.wikimedia.org/wiki/File:2018_06_20-14.19.51.436-CDT.jpg
172;lámina fotográfica;109;Vientos anabático y catabático de ladera, y el sistema mayor de valle:;Barèges 65 Près-Dets Coubous 2012.jpg;JLPC;CC BY-SA 3.0;https://commons.wikimedia.org/wiki/File:Bar%C3%A8ges_65_Pr%C3%A8s-Dets_Coubous_2012.jpg
175;diagrama 3D;111;El día, la noche y las dos transiciones;NotebookLM (Gemini) sobre las fuentes del curso;CONAF / NotebookLM;generado;
177;lámina fotográfica;112;Al atardecer el aire baja;Fires and Smoke in Southeast Asia (MODIS).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;https://commons.wikimedia.org/wiki/File:Fires_and_Smoke_in_Southeast_Asia_(MODIS).jpg
179;lámina fotográfica;113;Onda de montaña y rotor: el aire estable forzado sobre la barrera osci;Stacked formation of lenticular clouds - NOAA.jpg;Wikimedia Commons;Public domain;https://commons.wikimedia.org/wiki/File:Stacked_formation_of_lenticular_clouds_-_NOAA.jpg
181;diagrama 3D;114;Onda de montaña, rotor y viento descendente;NotebookLM (Gemini) sobre las fuentes del curso;CONAF / NotebookLM;generado;
185;lámina fotográfica;117;Puelche y Raco: el mismo mecanismo;Nubes lentiformes (29976427793).jpg;Patricio Novoa Quezada from Valparaíso, Chile;CC BY 2.0;https://commons.wikimedia.org/wiki/File:Nubes_lentiformes_(29976427793).jpg
187;lámina fotográfica;118;El viento se desacopla del suelo;Star trail in Rishikesh.jpg;Navneet Sharma;CC BY-SA 4.0;https://commons.wikimedia.org/wiki/File:Star_trail_in_Rishikesh.jpg
189;lámina fotográfica;119;La actividad nocturna que no debía ocurrir;California Brush Fire night.jpg;Russ Allison Loar;CC BY-SA 4.0;https://commons.wikimedia.org/wiki/File:California_Brush_Fire_night.jpg
191;lámina fotográfica;120;El jet costero es otro mecanismo;Wave Clouds behind Amsterdam Island.jpg;NASA Goddard Photo and Video;CC BY 2.0;https://commons.wikimedia.org/wiki/File:Wave_Clouds_behind_Amsterdam_Island.jpg
193;diagrama 3D;121;Lo que decide dónde caen las pavesas;NotebookLM (Gemini) sobre las fuentes del curso;CONAF / NotebookLM;generado;
